day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
6,PL063,31.814286,0.0,39.485714,60.0,41.0
7,PL063,41.0,0.0,31.814286,60.0,41.0
1,PL064,48.340909,0.0,19.659091,60.0,80.0
2,PL064,50.94697,0.0,31.393939,60.0,80.0
3,PL064,60.143939,0.0,36.80303,60.0,80.0
4,PL064,68.189394,0.0,43.954545,60.0,80.0
5,PL064,59.181818,0.0,44.007576,60.0,80.0
6,PL064,51.367424,0.0,39.814394,60.0,80.0
7,PL064,80.0,0.0,6.3674242,60.0,80.0
1,PL065,29.136842,0.0,21.863158,60.0,39.0
2,PL065,29.610526,5.5894737,33.936842,60.0,39.0
3,PL065,39.0,0.0,40.610526,60.0,39.0
4,PL065,38.578947,0.0,45.421053,60.0,39.0
5,PL065,31.715789,0.0,43.863158,60.0,39.0
6,PL065,27.336842,0.0,38.378947,60.0,39.0
7,PL065,39.0,0.0,36.336842,60.0,39.0
1,PL066,44.648148,0.0,25.351852,60.0,61.0
2,PL066,42.625926,0.0,36.022222,60.0,61.0
3,PL066,44.377778,0.0,36.248148,60.0,61.0
4,PL066,42.266667,0.0,35.111111,60.0,61.0
5,PL066,46.759259,0.0,37.507407,60.0,61.0
6,PL066,52.288889,0.0,40.47037,60.0,61.0
7,PL066,61.0,0.0,31.288889,60.0,61.0
1,PL067,31.333333,3.9641577,28.702509,60.0,36.0
2,PL067,36.0,0.0,46.333333,60.0,36.0
3,PL067,32.433692,0.0,45.566308,60.0,36.0
4,PL067,24.637993,0.0,42.795699,60.0,36.0
5,PL067,23.537634,0.0,38.100358,60.0,36.0
6,PL067,26.232975,0.0,37.304659,60.0,36.0
7,PL067,36.0,0.0,20.232975,60.0,36.0
1,PL068,43.428571,0.0,26.571429,60.0,65.0
2,PL068,39.729323,0.0,35.699248,60.0,65.0
3,PL068,46.556391,0.0,39.172932,60.0,65.0
4,PL068,46.451128,0.0,39.105263,60.0,65.0
5,PL068,43.112782,0.0,40.338346,60.0,65.0
6,PL068,44.977444,0.0,39.135338,60.0,65.0
7,PL068,65.0,0.0,12.977444,60.0,65.0
1,PL069,25.274021,0.0,24.725979,60.0,36.0
2,PL069,31.572954,0.0,39.701068,60.0,36.0
3,PL069,30.925267,0.0,40.647687,60.0,36.0
4,PL069,27.156584,0.0,40.768683,60.0,36.0
5,PL069,28.106762,0.0,39.049822,60.0,36.0
6,PL069,25.896797,0.0,37.209964,60.0,36.0
7,PL069,36.0,0.0,36.896797,60.0,36.0
1,PL070,64.930233,0.0,26.069767,60.0,93.0
2,PL070,59.472868,0.0,35.457364,60.0,93.0
3,PL070,54.914729,0.0,31.55814,60.0,93.0
4,PL070,64.205426,0.0,32.709302,60.0,93.0
5,PL070,63.457364,0.0,34.748062,60.0,93.0
6,PL070,71.178295,0.0,41.27907,60.0,93.0
7,PL070,93.0,0.0,16.178295,60.0,93.0
1,PL071,43.765152,0.0,32.234848,60.0,56.0
2,PL071,34.325758,0.0,41.439394,60.0,56.0
3,PL071,31.484848,0.0,36.840909,60.0,56.0
4,PL071,36.80303,0.0,35.681818,60.0,56.0
5,PL071,32.829545,0.0,35.973485,60.0,56.0
